Race,Gender,Type,Variant,Name
Dragonborn,Male,First,,Arjhan
Dragonborn,Male,First,,Balasar
Dragonborn,Male,First,,Bharash
Dragonborn,Male,First,,Donaar
Dragonborn,Male,First,,Ghesh
Dragonborn,Male,First,,Heskan
Dragonborn,Male,First,,Kriv
Dragonborn,Male,First,,Medrash
Dragonborn,Male,First,,Mehen
Dragonborn,Male,First,,Nadarr
Dragonborn,Male,First,,Pandjed
Dragonborn,Male,First,,Patrin
Dragonborn,Male,First,,Rhogar
Dragonborn,Male,First,,Shamash
Dragonborn,Male,First,,Shedinn
Dragonborn,Male,First,,Tarhun
Dragonborn,Male,First,,Torinn
Dragonborn,Female,First,,Akra
Dragonborn,Female,First,,Biri
Dragonborn,Female,First,,Daar
Dragonborn,Female,First,,Farideh
Dragonborn,Female,First,,Harann
Dragonborn,Female,First,,HaviJar
Dragonborn,Female,First,,Jheri
Dragonborn,Female,First,,Kava
Dragonborn,Female,First,,Korinn
Dragonborn,Female,First,,Mishann
Dragonborn,Female,First,,NaJa
Dragonborn,Female,First,,Perra
Dragonborn,Female,First,,Raiann
Dragonborn,Female,First,,Sora
Dragonborn,Female,First,,Surina
Dragonborn,Female,First,,Thava
Dragonborn,Female,First,,Uadjit
Dragonborn,Neutral,First,Child,Climber
Dragonborn,Neutral,First,Child,Earbender
Dragonborn,Neutral,First,Child,Leaper
Dragonborn,Neutral,First,Child,Pious
Dragonborn,Neutral,First,Child,Shieldbiter
Dragonborn,Neutral,First,Child,Zealous
Dragonborn,Neutral,Last,,Clethtinthiallor
Dragonborn,Neutral,Last,,Daardendrian
Dragonborn,Neutral,Last,,Delmirev
Dragonborn,Neutral,Last,,Drachedandion
Dragonborn,Neutral,Last,,Fenkenkabradon
Dragonborn,Neutral,Last,,Kepeshkmolik
Dragonborn,Neutral,Last,,Kerrhylon
Dragonborn,Neutral,Last,,Kimbatuul
Dragonborn,Neutral,Last,,Linxakasendalor
Dragonborn,Neutral,Last,,Myastan
Dragonborn,Neutral,Last,,Nemmonis
Dragonborn,Neutral,Last,,Norixius
Dragonborn,Neutral,Last,,Ophinshtalajiir
Dragonborn,Neutral,Last,,Prexijandilin
Dragonborn,Neutral,Last,,Shestendeliath
Dragonborn,Neutral,Last,,Turnuroth
Dragonborn,Neutral,Last,,Verthisathurgiesh
Dragonborn,Neutral,Last,,Yarjerit
Dwarf,Male,First,,Adrik
Dwarf,Male,First,,Alberich
Dwarf,Male,First,,Baern
Dwarf,Male,First,,Barendd
Dwarf,Male,First,,Brottor
Dwarf,Male,First,,Bruenor
Dwarf,Male,First,,Oain
Dwarf,Male,First,,Oarrak
Dwarf,Male,First,,Oelg
Dwarf,Male,First,,Eberk
Dwarf,Male,First,,Einkil
Dwarf,Male,First,,Fargrim
Dwarf,Male,First,,Flint
Dwarf,Male,First,,Gardain
Dwarf,Male,First,,Harbek
Dwarf,Male,First,,Kildrak
Dwarf,Male,First,,Morgran
Dwarf,Male,First,,Orsik
Dwarf,Male,First,,Oskar
Dwarf,Male,First,,Rangrim
Dwarf,Male,First,,Rurik
Dwarf,Male,First,,Taklinn
Dwarf,Male,First,,Thoradin
Dwarf,Male,First,,Thorin
